account,industry,stage,owner,revenue,probability,tickets,satisfaction,lastContact,email,duplicate,opportunity,stack,notes
NorthCare Clinics,Healthcare,Proposal,Grace,86000,67,18,72,4,ops@northcare.nz,false,Power BI clinical operations dashboard,Power BI; Azure; API,Needs dashboard for patient flow and support ticket visibility
Auckland Retail Group,Retail,Qualified,Mia,42000,46,9,81,8,digital@arg.co.nz,false,CRM lead scoring and campaign segmentation,Salesforce; AI; SQL,Marketing team wants better lead prioritisation
Harbour Logistics,Logistics,Discovery,Grace,62000,38,26,61,15,it@harbourlogistics.co.nz,false,API integration and workflow automation,API; Azure; SQL,Manual spreadsheets slow daily freight reporting
Uni Services Lab,Education,Proposal,Noah,58000,59,7,86,3,projects@uniservices.nz,false,Research project CRM and dashboard,Power BI; Snowflake; SQL,Good fit for student-friendly analytics pilot
GreenGrow Farms,Agriculture,Qualified,Grace,39000,52,14,69,5,admin@greengrow.nz,false,AI image triage and field data dashboard,AI; API; Power BI,Interested in image AI and field data capture
Civic Energy Trust,Utilities,Negotiation,Mia,93000,72,21,66,2,data@civicenergy.org.nz,false,Snowflake data mart and executive reporting,Snowflake; Power BI; Azure,Board wants a clearer operational reporting layer
Pacific Insurance,Finance,Discovery,Aria,76000,41,32,58,21,crm@pacificinsurance.nz,false,Case management analytics,Salesforce; SQL; AI,High support burden and slow case triage
Metro Fitness,Consumer,Won,Noah,28000,100,6,89,6,hello@metrofit.nz,false,Retention dashboard,Power BI; SQL,Small but successful retention pilot
Southern MedTech,Healthcare,Qualified,Grace,118000,54,11,74,6,product@southernmedtech.nz,false,AI quality workflow and device support reporting,AI; Azure; API,Strong health-tech reference candidate
CloudWorks MSP,Technology,Proposal,Aria,67000,63,16,77,9,sales@cloudworks.nz,false,Azure integration assessment,Azure; API; SQL,Potential systems integration partner
Auckland Retail Group,Retail,Discovery,Mia,18000,24,4,83,30,digital@arg.co.nz,true,Duplicate CRM record cleanup,Salesforce; SQL,Duplicate account should be merged before reporting
FreshBox Grocery,Retail,Negotiation,Grace,74000,78,13,71,1,ops@freshbox.co.nz,false,Demand dashboard and API feed,API; Power BI; Snowflake,Ready for next-stage consulting proposal
Tamaki Council Services,Public Sector,Qualified,Noah,51000,49,25,63,11,service@tamaki.govt.nz,false,Citizen service analytics,Power BI; SQL; AI,Needs low-risk dashboard pilot and governance framing
EduPath Online,Education,Discovery,Grace,32000,35,19,64,18,support@edupath.nz,false,Student support automation,AI; Salesforce; API,Good generative AI support assistant candidate
Marine Safety Co,Manufacturing,Proposal,Mia,82000,61,12,80,7,invalid-email,false,Quality reporting and service workflow,Power BI; Azure; SQL,Invalid CRM email must be fixed before campaign outreach
