account,industry,stage,owner,revenue,probability,tickets,satisfaction,last_contact_days,email,duplicate,opportunity,stack,notes,valid_email,stale_contact,high_support_load,low_satisfaction,ai_score,segment,next_action
Civic Energy Trust,Utilities,Negotiation,Mia,93000,72,21,66,2,data@civicenergy.org.nz,False,Snowflake data mart and executive reporting,Snowflake; Power BI; Azure,Board wants a clearer operational reporting layer,True,False,True,True,100,High-value priority,Schedule proposal follow-up this week
FreshBox Grocery,Retail,Negotiation,Grace,74000,78,13,71,1,ops@freshbox.co.nz,False,Demand dashboard and API feed,API; Power BI; Snowflake,Ready for next-stage consulting proposal,True,False,False,False,96,High-value priority,Schedule proposal follow-up this week
NorthCare Clinics,Healthcare,Proposal,Grace,86000,67,18,72,4,ops@northcare.nz,False,Power BI clinical operations dashboard,Power BI; Azure; API,Needs dashboard for patient flow and support ticket visibility,True,False,False,False,90,High-value priority,Schedule proposal follow-up this week
CloudWorks MSP,Technology,Proposal,Aria,67000,63,16,77,9,sales@cloudworks.nz,False,Azure integration assessment,Azure; API; SQL,Potential systems integration partner,True,False,False,False,78,High-value priority,Schedule proposal follow-up this week
Southern MedTech,Healthcare,Qualified,Grace,118000,54,11,74,6,product@southernmedtech.nz,False,AI quality workflow and device support reporting,AI; Azure; API,Strong health-tech reference candidate,True,False,False,False,77,High-value priority,Schedule proposal follow-up this week
Uni Services Lab,Education,Proposal,Noah,58000,59,7,86,3,projects@uniservices.nz,False,Research project CRM and dashboard,Power BI; Snowflake; SQL,Good fit for student-friendly analytics pilot,True,False,False,False,74,Proposal-ready,Prepare tailored client proposal
Marine Safety Co,Manufacturing,Proposal,Mia,82000,61,12,80,7,invalid-email,False,Quality reporting and service workflow,Power BI; Azure; SQL,Invalid CRM email must be fixed before campaign outreach,False,False,False,False,70,Proposal-ready,Clean CRM record before outreach
Tamaki Council Services,Public Sector,Qualified,Noah,51000,49,25,63,11,service@tamaki.govt.nz,False,Citizen service analytics,Power BI; SQL; AI,Needs low-risk dashboard pilot and governance framing,True,False,True,True,66,Proposal-ready,Run service-risk discovery call
Metro Fitness,Consumer,Won,Noah,28000,100,6,89,6,hello@metrofit.nz,False,Retention dashboard,Power BI; SQL,Small but successful retention pilot,True,False,False,False,62,Proposal-ready,Send discovery email with dashboard pilot offer
GreenGrow Farms,Agriculture,Qualified,Grace,39000,52,14,69,5,admin@greengrow.nz,False,AI image triage and field data dashboard,AI; API; Power BI,Interested in image AI and field data capture,True,False,False,True,60,Qualified opportunity,Run service-risk discovery call
Pacific Insurance,Finance,Discovery,Aria,76000,41,32,58,21,crm@pacificinsurance.nz,False,Case management analytics,Salesforce; SQL; AI,High support burden and slow case triage,True,True,True,True,56,At-risk service,Run service-risk discovery call
Harbour Logistics,Logistics,Discovery,Grace,62000,38,26,61,15,it@harbourlogistics.co.nz,False,API integration and workflow automation,API; Azure; SQL,Manual spreadsheets slow daily freight reporting,True,True,True,True,54,At-risk service,Run service-risk discovery call
Auckland Retail Group,Retail,Qualified,Mia,42000,46,9,81,8,digital@arg.co.nz,True,CRM lead scoring and campaign segmentation,Salesforce; AI; SQL,Marketing team wants better lead prioritisation,True,False,False,False,43,Nurture,Clean CRM record before outreach
EduPath Online,Education,Discovery,Grace,32000,35,19,64,18,support@edupath.nz,False,Student support automation,AI; Salesforce; API,Good generative AI support assistant candidate,True,True,False,True,39,At-risk service,Run service-risk discovery call
Auckland Retail Group,Retail,Discovery,Mia,18000,24,4,83,30,digital@arg.co.nz,True,Duplicate CRM record cleanup,Salesforce; SQL,Duplicate account should be merged before reporting,True,True,False,False,11,Nurture,Clean CRM record before outreach
